train,val,test1
Case120,Case132,Case1
Case115,Case175,Case4
Case210,Case204,Case28
Case64,Case159,Case42
Case31,Case137,Case44
Case110,Case161,Case47
Case141,Case163,Case50
Case105,Case27,Case65
Case174,Case46,Case70
Case38,Case93,Case94
Case199,Case85,Case95
Case118,Case205,Case96
Case139,Case53,Case99
Case79,Case17,Case124
Case198,Case194,Case126
Case10,Case25,Case147
Case2,Case172,Case157
Case102,Case140,Case189
Case7,Case128,Case195
Case84,Case109,Case209
Case212,Case87,
Case98,Case75,
Case144,Case40,
Case142,Case152,
Case111,Case13,
Case160,Case100,
Case116,Case12,
Case33,Case54,
Case168,Case89,
Case9,Case143,
Case166,Case200,
Case6,Case97,
Case138,Case32,
Case171,Case56,
Case91,,
Case179,,
Case153,,
Case184,,
Case121,,
Case176,,
Case208,,
Case34,,
Case164,,
Case213,,
Case190,,
Case108,,
Case19,,
Case18,,
Case193,,
Case146,,
Case57,,
Case16,,
Case150,,
Case136,,
Case37,,
Case178,,
Case81,,
Case148,,
Case90,,
Case173,,
Case127,,
Case71,,
Case113,,
Case167,,
Case43,,
Case145,,
Case82,,
Case162,,
Case182,,
Case45,,
Case52,,
Case129,,
Case29,,
Case106,,
Case186,,
Case191,,
Case8,,
Case55,,
Case30,,
Case180,,
Case156,,
Case112,,
Case14,,
Case123,,
Case68,,
Case69,,
Case92,,
Case101,,
Case134,,
Case165,,
Case77,,
Case83,,
Case59,,
Case149,,
Case58,,
Case170,,
Case155,,
Case22,,
Case130,,
Case23,,
Case26,,
Case66,,
Case5,,
Case187,,
Case72,,
Case36,,
Case215,,
Case48,,
Case78,,
Case24,,
Case73,,
Case107,,
Case158,,
Case41,,
Case122,,
Case35,,
Case103,,
Case197,,
Case88,,
Case80,,
Case203,,
Case133,,
Case177,,
Case169,,
Case61,,
Case62,,
Case20,,
Case214,,
Case104,,
Case154,,
Case67,,
Case39,,
Case188,,
Case196,,
Case202,,
Case76,,
Case181,,
Case185,,
